iter	Passed	Remaining
0	1	7732
1	2	7319
2	5	9553
3	7	9507
4	9	9074
5	10	8608
6	11	8349
7	13	8145
8	14	8042
9	15	7750
10	18	8561
11	20	8413
12	21	8292
13	23	8247
14	24	8046
15	25	7859
16	26	7726
17	27	7567
18	28	7425
19	29	7304
20	30	7223
21	32	7277
22	33	7318
23	35	7299
24	36	7202
25	37	7111
26	38	7035
27	39	6967
28	40	6891
29	41	6817
30	42	6775
31	43	6829
32	45	6784
33	45	6714
34	46	6643
35	47	6574
36	48	6529
37	49	6477
38	50	6421
39	51	6371
40	52	6318
41	53	6273
42	54	6232
43	54	6191
44	55	6161
45	56	6123
46	57	6085
47	58	6043
48	59	6017
49	60	5985
50	61	5954
51	62	5925
52	63	5923
53	64	5900
54	65	5869
55	66	5846
56	67	5816
57	67	5785
58	68	5752
59	69	5728
60	70	5699
61	71	5672
62	72	5666
63	73	5676
64	74	5664
65	75	5641
66	76	5628
67	77	5605
68	78	5582
69	79	5564
70	79	5545
71	80	5534
72	81	5513
73	82	5492
74	83	5473
75	84	5453
76	85	5437
77	85	5414
78	86	5399
79	87	5385
80	88	5372
81	89	5356
82	90	5339
83	90	5320
84	91	5302
85	92	5286
86	93	5265
87	94	5259
88	95	5245
89	95	5232
90	96	5224
91	97	5213
92	98	5200
93	99	5187
94	100	5177
95	101	5165
96	102	5155
97	102	5145
98	103	5130
99	104	5118
100	105	5109
101	106	5098
102	107	5092
103	107	5080
104	108	5070
105	109	5069
106	110	5059
107	111	5051
108	112	5041
109	113	5032
110	114	5024
111	114	5013
112	115	5004
113	116	4996
114	117	4987
115	118	4981
116	119	4971
117	119	4959
118	120	4950
119	121	4941
120	122	4933
121	123	4924
122	124	4920
123	124	4913
124	125	4903
125	126	4896
126	127	4889
127	128	4883
128	129	4878
129	130	4876
130	130	4868
131	132	4871
132	133	4870
133	133	4865
134	134	4857
135	135	4851
136	136	4844
137	137	4838
138	138	4829
139	138	4822
140	139	4816
141	140	4812
142	141	4806
143	142	4800
144	143	4793
145	143	4787
146	144	4782
147	145	4777
148	146	4774
149	147	4772
150	148	4769
151	149	4764
152	150	4758
153	151	4753
154	151	4747
155	152	4744
156	153	4737
157	154	4735
158	155	4732
159	156	4725
160	157	4720
161	157	4717
162	158	4711
163	159	4705
164	160	4701
165	161	4696
166	162	4690
167	162	4684
168	163	4677
169	164	4672
170	165	4667
171	166	4663
172	166	4659
